trigger_length	passage	index	trigger	iterations	trigger_rank	clean_rank
1	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	2	oricon	14	547.66	3470.20
1	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	3	reggae	9	1143.87	3470.20
1	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	4	oricon	14	547.66	3470.20
2	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	0	grain vocalist	9	248.48	3470.20
2	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	1	minogue	7	629.67	3470.20
2	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	2	rae remixes	17	279.84	3470.20
2	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	3	jade minogue	9	347.52	3470.20
2	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	4	minogue	7	629.67	3470.20
3	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	0	head vocalists austen	15	144.29	3470.20
3	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	1	australian 2016 cappella	9	28.96	3470.20
3	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	2	dani bassist	13	182.23	3470.20
3	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	3	synth nowhere bassist	15	218.40	3470.20
3	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	4	motown kylie references	16	150.37	3470.20
4	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	0	dance bang disbanded peaked	24	45.88	3470.20
4	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	1	hamas charts oricon swan	15	122.68	3470.20
4	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	2	blanco revealing motown tribute	16	49.98	3470.20
4	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	3	pop kylie joins peaked	28	37.56	3470.20
4	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	4	trainee kylie prop disbanded	28	33.77	3470.20
5	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	0	stellar reportedly cooperation drummer minogue	25	56.99	3470.20
5	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	1	premiere kylie repeating oricon behaviour	18	68.37	3470.20
5	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	2	success energetic destiny metacritic minogue	12	38.58	3470.20
5	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	3	gear previously cancer zoe vocalists	17	76.27	3470.20
5	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	4	rees romania debuted live blanco	16	29.65	3470.20
